(version,attrCMD,versionAttr)
(no,internalCMD,aaa)
(aaa,internalCMD,new-model)
(ip,internalCMD,cef)
(no,internalCMD,ipv6)
(ipv6,internalCMD,cef)
(multilink,internalCMD,bundle-name)
(bundle-name,internalCMD,authenticated)
(ip,internalCMD,forward-protocol)
(forward-protocol,internalCMD,nd)
(no,internalCMD,ip)
(ip,internalCMD,http)
(http,internalCMD,server)
(no,internalCMD,ip)
(ip,internalCMD,http)
(http,internalCMD,secure-server)
(ip,internalCMD,bgp-community)
(bgp-community,internalCMD,new-format)
(hostname,attrCMD,hostnameAttr)
(interface,attrCMD,interfaceAttr)
(interfaceAttr,internalCMD,ip)
(ip,internalCMD,address)
(address,attrCMD,addressAttr)
(interfaceAttr,internalCMD,description)
(description,attrCMD,descriptionAttr)
(interfaceAttr,internalCMD,speed)
(speed,internalCMD,auto)
(interfaceAttr,internalCMD,duplex)
(duplex,internalCMD,auto)
(ip,sameLevel,description)
(description,sameLevel,ip)
(ip,sameLevel,duplex)
(duplex,sameLevel,ip)
(ip,sameLevel,speed)
(speed,sameLevel,ip)
(description,sameLevel,duplex)
(duplex,sameLevel,description)
(description,sameLevel,speed)
(speed,sameLevel,description)
(duplex,sameLevel,speed)
(speed,sameLevel,duplex)
(interface,attrCMD,interfaceAttr)
(interfaceAttr,internalCMD,ip)
(ip,internalCMD,address)
(address,attrCMD,addressAttr)
(interfaceAttr,internalCMD,description)
(description,attrCMD,descriptionAttr)
(interfaceAttr,internalCMD,speed)
(speed,internalCMD,auto)
(interfaceAttr,internalCMD,duplex)
(duplex,internalCMD,auto)
(ip,sameLevel,description)
(description,sameLevel,ip)
(ip,sameLevel,duplex)
(duplex,sameLevel,ip)
(ip,sameLevel,speed)
(speed,sameLevel,ip)
(description,sameLevel,duplex)
(duplex,sameLevel,description)
(description,sameLevel,speed)
(speed,sameLevel,description)
(duplex,sameLevel,speed)
(speed,sameLevel,duplex)
(router,internalCMD,bgp)
(bgp,attrCMD,bgpAttr)
(bgpAttr,internalCMD,no)
(no,internalCMD,synchronization)
(bgpAttr,internalCMD,bgp)
(bgp,internalCMD,log-neighbor-changes)
(bgpAttr,internalCMD,neighbor)
(neighbor,attrCMD,neighborAttr)
(neighborAttr,internalCMD,remote-as)
(remote-as,attrCMD,remote-asAttr)
(neighborAttr,internalCMD,description)
(description,attrCMD,descriptionAttr)
(neighborAttr,internalCMD,advertisement-interval)
(advertisement-interval,attrCMD,advertisement-intervalAttr)
(neighborAttr,internalCMD,soft-reconfiguration)
(soft-reconfiguration,internalCMD,inbound)
(neighborAttr,internalCMD,send-community)
(neighborAttr,internalCMD,remote-as)
(remote-as,attrCMD,remote-asAttr)
(neighborAttr,internalCMD,description)
(description,attrCMD,descriptionAttr)
(neighborAttr,internalCMD,advertisement-interval)
(advertisement-interval,attrCMD,advertisement-intervalAttr)
(neighborAttr,internalCMD,soft-reconfiguration)
(soft-reconfiguration,internalCMD,inbound)
(neighborAttr,internalCMD,send-community)
(no,sameLevel,bgp)
(bgp,sameLevel,no)
(no,sameLevel,neighbor)
(neighbor,sameLevel,no)
(bgp,sameLevel,neighbor)
(neighbor,sameLevel,bgp)
